~ Val B R M S X G C L I F T W H T I L V C P S V A T Y X E G P E H N X B G C L P I O Y R J V H H Q P W A O M H S Y Y M F S I W W K V F F X O M U W J E K K Y O V A B U C B G L J V H M T E A B K V B N K W K G 
Jp ~ 5128 ~ ~ ~ ~ ~ 1220 ~ 3086 4644 ~ ~ 234 ~ ~ 3768 1247 ~ ~ ~ ~ 3078 3383 ~ ~ ~ ~ 2838 5997 2907 9954 ~ ~ ~ ~ ~ ~ ~ 3854 9962 8057 9477 ~ ~ ~ 6610 ~ ~ 309 1724 ~ 4845 5184 ~ ~ 6197 5186 ~ 7810 6208 ~ 1188 2664 1407 408 7080 ~ ~ ~ 8951 ~ ~ 8710 7544 ~ ~ ~ 9783 ~ ~ ~ 9901 ~ 2131 ~ ~ ~ 5991 9348 7452 3995 ~ ~ ~ ~ ~ 2312 ~ 1074 3851 
Vr ~ ~ ~ 190 4174 ~ 8005 6199 2425 ~ ~ 5194 ~ 2308 8350 7625 ~ ~ 7760 9859 ~ 4771 ~ ~ ~ 545 2315 ~ 3166 7138 3286 ~ ~ 228 6522 6924 9080 ~ 3751 ~ 2707 7350 2761 6921 73 1008 8859 ~ ~ 7972 ~ 1048 ~ 3230 ~ ~ ~ 8770 ~ ~ 4711 8734 7513 ~ ~ 2490 ~ ~ ~ 2300 ~ ~ ~ 9994 1397 ~ ~ ~ ~ ~ 4979 9994 ~ ~ ~ 7089 5611 ~ 6519 ~ ~ 7622 ~ 9795 ~ 6572 ~ 9636 ~ ~ 1968 
Ho ~ 8769 5393 8047 3099 ~ ~ ~ 7747 ~ ~ 8837 7733 ~ 728 ~ 8027 ~ 5824 ~ 5313 7421 ~ 2076 ~ ~ ~ 9919 2609 ~ ~ ~ 7263 6514 8178 ~ 7129 1795 6900 9627 ~ 8271 3457 9584 ~ 2982 1568 ~ 1155 ~ 9850 ~ 3199 ~ 6255 ~ ~ ~ ~ 3526 ~ 1764 6239 8587 9889 ~ ~ ~ ~ ~ 410 4925 9111 ~ ~ ~ ~ 2373 ~ ~ 1185 ~ ~ 5943 ~ ~ 824 ~ 4430 ~ 2556 ~ ~ 9838 ~ 6563 9922 ~ 4345 309 6562 
Mh ~ ~ 8653 ~ 9036 4434 ~ 7938 ~ ~ ~ 2309 1043 ~ ~ ~ 7617 951 34 ~ ~ ~ 7394 9798 7073 ~ ~ 2473 6739 3875 9060 3748 ~ 9613 ~ 7117 8656 ~ 6107 9457 3986 ~ ~ ~ ~ 8778 ~ ~ ~ ~ ~ 675 ~ 7169 8284 8489 7439 3877 9330 8317 9287 8280 ~ ~ ~ 2175 4096 ~ 1091 1907 ~ ~ ~ 5 ~ 9441 ~ ~ ~ 5239 ~ 5563 ~ 7922 1168 ~ ~ ~ 4716 9814 ~ 6731 ~ 5690 1536 3109 ~ ~ ~ 1979 7005 
Ta ~ 5213 ~ 9679 ~ ~ ~ ~ ~ 9305 ~ ~ 2294 422 ~ 4835 968 ~ ~ 7578 ~ 6601 8760 ~ 1386 4218 4537 ~ 2042 ~ 1028 ~ ~ 584 4974 6021 ~ ~ 6254 ~ 4530 4254 ~ 1784 ~ ~ ~ 9826 9480 3903 1140 ~ 3663 820 ~ 7221 7948 7778 ~ 1770 ~ 4752 ~ ~ ~ 5643 2361 5677 ~ 7035 6975 ~ 9504 ~ ~ ~ ~ 76 ~ 2120 ~ ~ ~ 7701 ~ 6298 2704 ~ ~ ~ ~ 4755 4735 2591 ~ 6913 9092 9041 ~ ~ 1021 
Ek ~ ~ 164 5700 6299 1297 ~ 3701 6766 470 275 597 ~ ~ ~ 2666 ~ 6219 ~ 2336 ~ ~ ~ 9769 5200 6490 5419 1251 ~ ~ 9759 8890 ~ ~ 345 3559 ~ 9710 657 ~ 4833 ~ 3372 766 8502 ~ 7476 608 7499 ~ ~ 9356 3262 9050 7967 8819 ~ 29 ~ 9588 ~ 3891 6266 1488 8053 ~ ~ ~ ~ 3339 ~ 5708 ~ 7281 ~ 774 ~ ~ 2155 7738 5322 7772 ~ ~ ~ ~ ~ 2123 1534 ~ 1189 7583 ~ ~ 4697 7476 ~ ~ ~ ~ 562 
Af ~ 6179 4463 719 8199 562 4248 ~ 6600 ~ ~ ~ 2959 2357 5753 ~ 3650 ~ ~ 4361 ~ ~ ~ 8684 7433 8176 ~ ~ 2282 ~ ~ ~ ~ 6281 ~ ~ ~ ~ 3290 590 2643 3004 9256 ~ 1741 ~ 5548 7783 9338 ~ ~ ~ 7665 ~ 9985 ~ 6002 4459 ~ 555 6345 ~ ~ 8430 ~ 5797 9559 ~ 4108 ~ ~ 3103 ~ 5327 ~ ~ 4412 4800 6013 ~ 7705 ~ 855 2012 8402 9108 1610 4769 3744 ~ ~ ~ 2649 ~ 2086 8579 ~ ~ ~ ~ ~ 
Bx ~ ~ 5478 ~ ~ ~ ~ 8405 6051 ~ 4807 ~ 106 ~ ~ ~ ~ ~ ~ 294 ~ ~ ~ ~ 5383 379 3483 5111 ~ 5181 ~ ~ ~ 5861 6082 ~ 4539 8869 ~ 2863 3827 9430 ~ 793 936 6891 ~ 3882 ~ ~ ~ ~ 2572 7586 2619 ~ 5757 ~ 8070 ~ 7814 7925 9462 ~ ~ 3342 ~ 730 ~ ~ 3823 ~ 5344 7959 ~ 9052 ~ 2677 ~ ~ 807 3794 ~ ~ ~ ~ ~ ~ 618 ~ 5302 6333 ~ 4724 2035 9116 5074 8056 ~ ~ 3189 
Kx ~ 8872 3330 6640 ~ ~ ~ ~ ~ ~ ~ 3479 7860 4546 ~ 2486 ~ 2344 ~ 1819 5145 ~ 3279 5253 4669 ~ 8020 ~ ~ ~ ~ 2537 7366 ~ 1971 ~ ~ 9841 1760 9398 ~ ~ 3822 548 5159 4793 9360 9810 8099 8008 ~ ~ 3296 ~ ~ 1141 ~ ~ ~ 5566 5377 2829 9058 ~ ~ ~ ~ ~ ~ 3486 ~ 1154 7722 9150 272 5431 ~ 8825 4001 8902 ~ ~ ~ 6166 7924 4538 9252 ~ 8497 8932 9272 ~ ~ ~ 5396 52 4293 ~ 9913 9637 ~ 
Vm ~ ~ ~ 191 ~ ~ ~ ~ ~ ~ 7645 7416 ~ 2693 5121 ~ 8637 6664 ~ 7501 4163 3263 ~ 5929 9422 ~ 6102 ~ ~ 4386 ~ 7631 8503 ~ ~ 4040 1008 ~ 1363 ~ 1656 ~ ~ 7155 9088 4221 4757 ~ 4931 2217 ~ ~ ~ 8690 1783 ~ ~ 8595 8043 4833 ~ ~ 1030 ~ ~ ~ ~ 458 9900 ~ 38 ~ ~ ~ ~ 7216 ~ ~ 9016 8025 2923 5592 ~ 3722 ~ ~ ~ 2483 ~ ~ 6656 ~ 9115 6182 7719 ~ 2995 4613 9087 ~ 4379 
Bf ~ ~ 9686 5650 ~ 7762 6788 ~ 6988 ~ 8799 ~ 9605 ~ ~ 9436 ~ ~ 1972 ~ ~ ~ 1790 9965 7121 ~ 6808 9481 737 ~ 1690 ~ ~ 719 ~ 6785 1668 ~ ~ ~ ~ 537 ~ ~ 5529 ~ 6557 6355 2963 ~ ~ 6491 9764 8191 ~ ~ 1677 ~ ~ 1256 540 ~ ~ ~ 3834 4370 4518 ~ 7375 6690 6901 ~ 8052 ~ 3784 2700 8451 7724 1093 ~ ~ ~ 2921 6246 2503 9868 1759 ~ ~ 7741 4797 3975 ~ ~ 6115 4160 4375 4293 ~ 2595 8261 
Nk ~ 541 7530 ~ ~ ~ 5463 9163 ~ 903 2506 ~ 2314 ~ ~ 1433 ~ ~ 2182 444 ~ ~ ~ ~ 9532 1626 ~ 3252 ~ 9638 3749 ~ ~ ~ ~ 894 6054 3511 6255 6702 ~ ~ 259 ~ ~ ~ 3928 95 ~ 7895 3040 ~ 5070 ~ ~ ~ ~ 2581 2394 ~ 9564 ~ 8771 ~ 5685 ~ ~ 489 ~ ~ 8803 6740 ~ 2317 ~ ~ ~ ~ 1239 ~ ~ ~ 2576 7646 ~ ~ ~ ~ ~ 5677 ~ 5849 7177 261 5479 5163 6100 4913 ~ 4128 5609 
Km ~ 5479 ~ ~ ~ ~ 5756 ~ 6204 4923 ~ ~ ~ 3947 1175 2507 2848 ~ ~ 7602 ~ 4758 ~ ~ 6988 ~ 7265 ~ ~ ~ ~ ~ ~ ~ 4732 ~ ~ 6579 ~ ~ 9058 ~ 8662 4271 ~ 1319 ~ 5980 ~ ~ 3927 6280 ~ 4078 ~ 3569 1087 ~ 7055 1652 2235 ~ ~ 2060 ~ ~ 5866 5750 ~ 9939 1601 ~ ~ 3976 ~ 2607 6906 ~ 4350 ~ ~ ~ ~ ~ 3355 4149 ~ ~ ~ ~ 5747 6043 ~ 6807 ~ 2478 2779 9410 2886 2836 9856 
Wo ~ ~ 3749 ~ ~ 5744 8489 ~ 7302 2826 ~ 3223 ~ ~ ~ 8433 77 ~ 2404 722 ~ ~ ~ 826 ~ ~ ~ ~ ~ 701 ~ ~ 5250 616 ~ ~ ~ ~ 6824 4757 ~ 4319 ~ ~ ~ 1928 1656 4161 9843 ~ ~ 7843 7423 ~ ~ ~ ~ 2571 ~ 5987 6723 6953 ~ 2218 1525 9874 6522 ~ ~ 5932 6275 8892 ~ 4161 ~ ~ 2952 3952 4557 ~ 2199 4308 2557 ~ ~ ~ 7251 ~ ~ 3401 8237 ~ ~ ~ 7658 2164 ~ ~ ~ 8266 3453 
Ks ~ ~ ~ 4692 ~ 259 ~ 7684 3091 6188 5481 ~ 1051 4615 7218 ~ 182 ~ 5559 6139 ~ 1842 6033 ~ 1542 6799 ~ ~ ~ ~ 2445 ~ ~ ~ 8052 9792 2459 4802 ~ ~ 7198 4515 ~ ~ 7223 ~ 2853 9536 3135 7754 7741 ~ ~ ~ 3760 5991 ~ 559 ~ 8131 ~ 2296 3887 ~ ~ ~ 4956 9479 6646 6720 5880 ~ 6289 ~ 6600 ~ ~ 6252 ~ ~ 5998 ~ 6111 9353 ~ ~ ~ 5038 ~ 1340 8427 ~ ~ 2311 258 ~ ~ 7656 ~ 8828 ~ 
Gd ~ 7714 661 4582 3616 ~ 8347 ~ ~ ~ ~ ~ 1528 3657 191 246 ~ 2471 ~ 3370 ~ 1489 ~ 1617 ~ ~ 9622 ~ 4720 4103 1571 ~ ~ ~ ~ ~ 7238 ~ 2532 ~ 9849 2500 3418 ~ ~ ~ 9892 ~ 7716 6389 7304 8819 ~ ~ ~ ~ ~ ~ ~ ~ ~ 41 ~ ~ ~ ~ ~ 5889 2008 8098 ~ 8575 2826 ~ ~ ~ ~ 6649 2213 ~ ~ ~ 7423 ~ ~ 3798 ~ 2926 1462 ~ ~ 2115 ~ ~ 7744 7984 ~ ~ 7842 ~ ~ 
